DATABASE	NAME	EC NUMBER(S)	KEGG ID(S)	DELTAG (kcal/mol)	DELTAG ERROR (kcal/mol)	EQUATION	NAME EQ	THERMODYNAMIC FEASIBILTY
rxn10603	sulfomethyl thiazolidine synthase			10000000	10000000	cpd00084_c0 + cpd00460_c0 <=> cpd00001_c0 + cpd15810_c0	L-Cysteine + Sulfoacetaldehyde <=> H2O + 2-(sulfomethyl)thiazolidine-4-carboxylic acid	<=>
rxn10604	sulfate transport exchange via proton symport			0	2	cpd00067_e0 + cpd00081_e0 <=> cpd00067_c0 + cpd00081_c0	H+ + HSO3- <=> H+ + HSO3-	<=>
rxn10605	sulfur diffusion			0	2	cpd00074_e0 <=> cpd00074_c0	S <=> S	<=>
rxn10606	triaminopyrimidine triphosphate phosphorilase			10000000	10000000	cpd00001_c0 + cpd15902_c0 <=> cpd00012_c0 + cpd00067_c0 + cpd00957_c0	H2O + triaminopyrimidine triphosphate <=> PPi + H+ + 2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone	<=>
rxn10607	triaminopyrimidine triphosphate phosphomutase			10000000	10000000	cpd15902_c0 <=> cpd00001_c0 + cpd00012_c0 + cpd15850_c0	triaminopyrimidine triphosphate <=> H2O + PPi + 7,8-dihydronepterin 2' :3'-cyclicphosphate	<=>
rxn10608	trans-homoaconitate hydrolase			10000000	10000000	cpd00001_c0 + cpd15886_c0 <=> cpd15833_c0	H2O + trans-homoaconitate <=> S-homocitrate	<=>
rxn10609	threonine-phosphate synthase			-4.5	0.23673	cpd00002_c0 + cpd00161_c0 <=> cpd00008_c0 + cpd08928_c0	ATP + threonine <=> ADP + L-Threonine phosphate	<=>
rxn10610	threo-iso(homo)2citrate dehydrogenase			10000000	10000000	cpd00003_c0 + cpd15908_c0 <=> cpd00004_c0 + cpd00011_c0 + cpd15900_c0	NAD + (-)threo-iso(homo)2citrate <=> NADH + CO2 + 2-oxoheptanedioic acid	<=>
rxn10611	threo-iso(homo)3citrate dehydrogenase			10000000	10000000	cpd00003_c0 + cpd15909_c0 <=> cpd00004_c0 + cpd00011_c0 + cpd15808_c0	NAD + (-)threo-iso(homo)3citrate <=> NADH + CO2 + 2-oxooctanedioic acid	<=>
rxn10612	threo-isohomocitrate dehydrogenase			10000000	10000000	cpd00003_c0 + cpd15888_c0 <=> cpd00004_c0 + cpd00011_c0 + cpd15901_c0	NAD + threo-isohomocitrate <=> NADH + CO2 + 2-oxohexanedioic acid	<=>
rxn10613	Trimethylamine methyltransferase			-0.036	1.76946	cpd00441_c0 + cpd02246_c0 <=> cpd00425_c0 + cpd02438_c0	(CH3)3N + CoM <=> (CH3)2NH + Methyl CoM	<=>
rxn10614	Trimethylamine symport			0	2	cpd00067_e0 + cpd00441_e0 <=> cpd00067_c0 + cpd00441_c0	H+ + (CH3)3N <=> H+ + (CH3)3N	<=>
rxn10615	thiosulfate reductase			-4.7865	1	cpd00067_c0 + cpd00268_c0 + cpd11640_c0 <=> cpd00081_c0 + cpd00239_c0	H+ + H2S2O3 + H2 <=> HSO3- + H2S	<=>
rxn10616	unknown cobalamin degradation product diffusion			0	2	cpd15910_e0 <=> cpd15910_c0	unknown degradation product of cbl1 for adocbl-HBI synthesis <=> unknown degradation product of cbl1 for adocbl-HBI synthesis	<=>
rxn10617	unknown riboflavin degradation product diffusion			0	2	cpd15911_e0 <=> cpd15911_c0	unknown riboflavin degradation product <=> unknown riboflavin degradation product	<=>
rxn10618	2-oxoisovalerate ferredoxin reductase			10000000	10000000	cpd00010_c0 + cpd00123_c0 + (2) cpd15876_c0 <=> cpd00011_c0 + cpd00067_c0 + cpd00481_c0 + (2) cpd15877_c0	CoA + 3MOB + 2 ferredoxin (oxidized) 2[4Fe-4S] <=> CO2 + H+ + Isobutyryl-CoA + 2 ferredoxin (reduced) 2[4Fe-4S]	<=>
rxn10619	fumarate reductase	|1.3.99.1|		6.529	2.8112	cpd00106_c0 + cpd15994_c0 <=> cpd00036_c0 + cpd15995_c0	Fumarate + Menaquinol6 <=> Succinate + Menaquinone6	<=>
rxn10620	hydroxymethylpyrimidine kinase (GTP)			-4.5	0.23673	cpd00038_c0 + cpd00939_c0 <=> cpd00031_c0 + cpd02775_c0	GTP + Toxopyrimidine <=> GDP + 4-Amino-2-methyl-5-phosphomethylpyrimidine	<=>
rxn10621	sirohydrochlorin dehydrogenase (NAD)			10000000	10000000	cpd00003_c0 + cpd01620_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd16034_c0	NAD + Precorrin 2 <=> NADH + H+ + sirohydrochlorin 2	<=>
rxn10622	hydroxymethylpyrimidine kinase (UTP)			-4.5	0.23673	cpd00062_c0 + cpd00939_c0 <=> cpd00014_c0 + cpd02775_c0	UTP + Toxopyrimidine <=> UDP + 4-Amino-2-methyl-5-phosphomethylpyrimidine	<=>
rxn10623	sirohydrochlorin ferrochetalase			10000000	10000000	cpd10515_c0 + cpd16034_c0 <=> (2) cpd00067_c0 + cpd00557_c0	Fe2+ + sirohydrochlorin 2 <=> 2 H+ + Siroheme	<=>
rxn10624	phosphopantothenate-cysteine ligase			-61.176	0.885033	cpd00002_c0 + cpd00084_c0 + cpd00834_c0 <=> cpd00012_c0 + cpd00018_c0 + cpd02666_c0	ATP + L-Cysteine + Phosphopantetheine <=> PPi + AMP + (R)-4'-Phosphopantothenoyl-L-cysteine	=>
rxn10625	hydroxymethylpyrimidine kinase (CTP)			-4.5	0.23673	cpd00052_c0 + cpd00939_c0 <=> cpd00096_c0 + cpd02775_c0	CTP + Toxopyrimidine <=> CDP + 4-Amino-2-methyl-5-phosphomethylpyrimidine	<=>
rxn10626	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase			-25.41	0.823717	cpd00199_c0 + cpd00658_c0 <=> cpd00020_c0 + cpd03451_c0	4-Oxobutanoate + Isochorismate <=> Pyruvate + SHCHC	=>
rxn10628	1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase			-8.474	1.20769	cpd15912_c0 + cpd16000_c0 <=> cpd11493_c0 + cpd16004_c0	1-Acyl-sn-glycerol 3-phosphate (branched C19:0) + 10methyl stearyoyl-ACP <=> ACP + 1,2-sn-glycerol 3-phosphate	=>
rxn10629	Mycolic Acid Cyclopropanation			-17.35	2.77082	cpd00017_c0 + cpd15984_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd15985_c0	SAM + cyclopropanated methoxy-meroacid ACP (1 cyclopropane ring) <=> S-Adenosylhomocysteine + H+ + cyclopropanated methoxy-meroacid ACP (2 cyclopropane rings)	=>
rxn10630	mycolic acid synthase (C56)			-227.508	36.663	(30) cpd00005_c0 + (42) cpd00067_c0 + (15) cpd11492_c0 + cpd15240_c0 <=> (16) cpd00001_c0 + (30) cpd00006_c0 + (15) cpd00011_c0 + (14) cpd11493_c0 + cpd15983_c0	30 TPNH + 42 H+ + 15 Malonyl-acyl-carrierprotein- + hexacosanoate <=> 16 H2O + 30 TPN + 15 CO2 + 14 ACP + methoxy meroacid ACP	=>
rxn10631	Mycolic Acid Cyclopropanation			8.65	2.80788	cpd00017_c0 + cpd15973_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd15974_c0	SAM + alpha meroacid ACP <=> S-Adenosylhomocysteine + H+ + cyclopropanated alpha meroacid ACP (1 cyclopropane ring)	<=>
rxn10632	Mycolic Acid Methyl Hydroxyl Addition			10000000	10000000	cpd00001_c0 + cpd00017_c0 + cpd15964_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd15979_c0	H2O + SAM + keto meroacid ACP <=> S-Adenosylhomocysteine + H+ + methyl hydroxy keto meroacid ACP (1 cyclopropane ring)	<=>
rxn10633	phospholipase C			10000000	10000000	cpd00001_c0 + cpd11822_c0 <=> cpd00067_c0 + cpd00867_c0 + cpd15309_c0	H2O + 1-Phosphatidyl-myo-inositol <=> H+ + Inositol 1-phosphate + 1,2-Diacyl-sn-glycerol dihexadecanoyl	<=>
rxn10634	Fatty Acid Ligase AMP (mycolic acid)			0.886	1.18888	cpd00018_c0 + cpd15980_c0 <=> cpd11493_c0 + cpd15981_c0	AMP + cyclopropanated methyl hydroxy keto meroacid ACP (1 cyclopropane ring) <=> ACP + cyclopropanated methyl hydroxy keto meroacid AMP (1 cyclopropane ring)	<=>
rxn10635	mycolic acid conglomeration flux			10000000	10000000	cpd15991_c0 <=> cpd16031_c0	methoxy mycolate (2 cyclopropanated rings) <=> mycolate compounds (all)	<=>
rxn10636	mycolic acid synthase (C58)			10000000	10000000	(30) cpd00005_c0 + (47) cpd00067_c0 + (16) cpd11492_c0 + cpd15240_c0 <=> (17) cpd00001_c0 + (30) cpd00006_c0 + (16) cpd00011_c0 + (15) cpd11493_c0 + cpd15964_c0	30 TPNH + 47 H+ + 16 Malonyl-acyl-carrierprotein- + hexacosanoate <=> 17 H2O + 30 TPN + 16 CO2 + 15 ACP + keto meroacid ACP	<=>
rxn10637	Mycolic Acid Condensation			25.12	1.64399	(2) cpd00001_c0 + cpd15937_c0 + cpd15967_c0 <=> cpd00010_c0 + cpd00011_c0 + cpd00018_c0 + (2) cpd00067_c0 + cpd15968_c0	2 H2O + carboxy hexacosanoyl-CoA + cyclopropanated keto-meroacid AMP (2 cyclopropane rings) <=> CoA + CO2 + AMP + 2 H+ + keto mycolate (2 cyclopropanated rings)	<=>
rxn10638	Hexanoic Acid CoA Ligase			5.757	1.20727	cpd00010_c0 + cpd00067_c0 + cpd15240_c0 <=> cpd00001_c0 + cpd15241_c0	CoA + H+ + hexacosanoate <=> H2O + Hexacosanoyl-CoA	<=
rxn10639	Acyl-CoA Carboxylase			-44.067	0.737183	cpd00011_c0 + cpd15241_c0 <=> cpd00001_c0 + cpd15937_c0	CO2 + Hexacosanoyl-CoA <=> H2O + carboxy hexacosanoyl-CoA	=>
rxn10640	Mycolic Acid Cyclopropanation			10000000	10000000	cpd00017_c0 + cpd15964_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd15965_c0	SAM + keto meroacid ACP <=> S-Adenosylhomocysteine + H+ + cyclopropanated keto-meroacid ACP (1 cyclopropane ring)	<=>
rxn10641	Mycolic Acid Cyclopropanation			-17.35	2.77082	cpd00017_c0 + cpd15974_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd15975_c0	SAM + cyclopropanated alpha meroacid ACP (1 cyclopropane ring) <=> S-Adenosylhomocysteine + H+ + cyclopropanated alpha meroacid ACP (2 cyclopropane rings)	=>
rxn10642	mycolic acid conglomeration flux			10000000	10000000	cpd15968_c0 <=> cpd16031_c0	keto mycolate (2 cyclopropanated rings) <=> mycolate compounds (all)	<=>
rxn10643	Fatty acid oxidation (octadecenoate)			36.292	18.1827	(8) cpd00001_c0 + cpd00002_c0 + (8) cpd00003_c0 + (9) cpd00010_c0 + (7) cpd00015_c0 + cpd15269_c0 <=> (8) cpd00004_c0 + cpd00012_c0 + cpd00018_c0 + (9) cpd00022_c0 + (7) cpd00067_c0 + (7) cpd00982_c0	8 H2O + ATP + 8 NAD + 9 CoA + 7 FAD + octadecenoate <=> 8 NADH + PPi + AMP + 9 Acetyl-CoA + 7 H+ + 7 FADH2	<=
rxn10644	Fatty Acid Ligase AMP (mycolic acid)			0.886	1.18888	cpd00018_c0 + cpd15988_c0 <=> cpd11493_c0 + cpd15989_c0	AMP + cyclopropanated methyl hydroxy methoxy meroacid ACP (1 cyclopropane ring) <=> ACP + cyclopropanated methyl hydroxy methoxy meroacid AMP (1 cyclopropane ring)	<=>
rxn10645	glycerol-3-phosphate acyltransferase (C19:0)			-3.614	1.17862	cpd00080_c0 + cpd16000_c0 <=> cpd11493_c0 + cpd15912_c0	GLYC-3-P + 10methyl stearyoyl-ACP <=> ACP + 1-Acyl-sn-glycerol 3-phosphate (branched C19:0)	=>
rxn10646	Mycolic Acid Condensation			25.12	1.64399	(2) cpd00001_c0 + cpd15937_c0 + cpd15986_c0 <=> cpd00010_c0 + cpd00011_c0 + cpd00018_c0 + (2) cpd00067_c0 + cpd15991_c0	2 H2O + carboxy hexacosanoyl-CoA + cyclopropanated methoxy-meroacid AMP (2 cyclopropane rings) <=> CoA + CO2 + AMP + 2 H+ + methoxy mycolate (2 cyclopropanated rings)	<=>
rxn10647	fatty acid synthase (n-C20:0)			-44.581	2.46808	(2) cpd00005_c0 + cpd00070_c0 + cpd01080_c0 <=> cpd00001_c0 + (2) cpd00006_c0 + cpd00010_c0 + cpd00011_c0 + cpd03848_c0	2 TPNH + 3 H+ + Malonyl-CoA + ocdca <=> H2O + 2 TPN + CoA + CO2 + Icosanoic acid	=>
rxn10648	mycolic acid conglomeration flux			10000000	10000000	cpd15990_c0 <=> cpd16031_c0	methoxy mycolate (1 cyclopropanated ring) <=> mycolate compounds (all)	<=>
rxn10649	Mycolic Acid Methyl Hydroxyl Addition			-22.913	2.31168	cpd00001_c0 + cpd00017_c0 + cpd15983_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd15987_c0	H2O + SAM + methoxy meroacid ACP <=> S-Adenosylhomocysteine + H+ + methyl hydroxy methoxy meroacid ACP	=>
rxn10650	Mycolic Acid Condensation			10000000	10000000	(2) cpd00001_c0 + cpd15937_c0 + cpd15981_c0 <=> cpd00010_c0 + cpd00011_c0 + cpd00018_c0 + (2) cpd00067_c0 + cpd15982_c0	2 H2O + carboxy hexacosanoyl-CoA + cyclopropanated methyl hydroxy keto meroacid AMP (1 cyclopropane ring) <=> CoA + CO2 + AMP + 2 H+ + keto mycolate (1 cyclopropanated rings)	<=>
rxn10651	Fatty Acid Ligase AMP (mycolic acid)			0.886	1.18888	cpd00018_c0 + cpd15966_c0 <=> cpd11493_c0 + cpd15967_c0	AMP + cyclopropanated keto-meroacid ACP (2 cyclopropane rings) <=> ACP + cyclopropanated keto-meroacid AMP (2 cyclopropane rings)	<=>
rxn10652	mycolic acid conglomeration flux			10000000	10000000	cpd15982_c0 <=> cpd16031_c0	keto mycolate (1 cyclopropanated rings) <=> mycolate compounds (all)	<=>
rxn10653	transacylase			0	2	cpd11493_c0 + cpd16015_c0 <=> cpd00010_c0 + cpd16014_c0	ACP + phenol palmitic coenzyme A <=> CoA + phenol palmitic acid ACP	<=>
rxn10654	Fatty Acid Ligase AMP (mycolic acid)			-15.584	1.26111	cpd00018_c0 + cpd00067_c0 + cpd15975_c0 <=> cpd11493_c0 + cpd15976_c0	AMP + H+ + cyclopropanated alpha meroacid ACP (2 cyclopropane rings) <=> ACP + cyclopropanated alpha meroacid AMP (2 cyclopropane rings)	=>
rxn10655	Mycolic Acid Cyclopropanation			-17.35	2.77082	cpd00017_c0 + cpd15987_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd15988_c0	SAM + methyl hydroxy methoxy meroacid ACP <=> S-Adenosylhomocysteine + H+ + cyclopropanated methyl hydroxy methoxy meroacid ACP (1 cyclopropane ring)	=>
rxn10656	mycolic acid synthase (C50)			-179.535	29.2669	(24) cpd00005_c0 + (33) cpd00067_c0 + (12) cpd11492_c0 + cpd15240_c0 <=> (13) cpd00001_c0 + (24) cpd00006_c0 + (12) cpd00011_c0 + (11) cpd11493_c0 + cpd15973_c0	24 TPNH + 33 H+ + 12 Malonyl-acyl-carrierprotein- + hexacosanoate <=> 13 H2O + 24 TPN + 12 CO2 + 11 ACP + alpha meroacid ACP	=>
rxn10657	Mycolic Acid Condensation			38.15	1.69496	(2) cpd00001_c0 + cpd15937_c0 + cpd15989_c0 <=> cpd00010_c0 + cpd00011_c0 + cpd00018_c0 + (2) cpd00067_c0 + cpd15990_c0	2 H2O + carboxy hexacosanoyl-CoA + cyclopropanated methyl hydroxy methoxy meroacid AMP (1 cyclopropane ring) <=> CoA + CO2 + AMP + 2 H+ + methoxy mycolate (1 cyclopropanated ring)	<=>
rxn10658	acyl-[acyl-carrier-protein] synthetase  (tuberculostearic acid)			-0.676	1.25824	cpd00002_c0 + cpd00067_c0 + cpd11493_c0 + cpd15992_c0 <=> cpd00012_c0 + cpd00018_c0 + cpd16000_c0	ATP + H+ + ACP + 10-methylstearic acid <=> PPi + AMP + 10methyl stearyoyl-ACP	<=>
rxn10659	mycolic acid conglomeration flux			10000000	10000000	cpd16001_c0 <=> cpd16031_c0	mycolate (2 cyclopropanated rings) <=> mycolate compounds (all)	<=>
rxn10660	Mycolic Acid Cyclopropanation			-17.35	2.77082	cpd00017_c0 + cpd15979_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd15980_c0	SAM + methyl hydroxy keto meroacid ACP (1 cyclopropane ring) <=> S-Adenosylhomocysteine + H+ + cyclopropanated methyl hydroxy keto meroacid ACP (1 cyclopropane ring)	=>
rxn10661	Fatty Acid Ligase AMP (mycolic acid)			0.886	1.18888	cpd00018_c0 + cpd15985_c0 <=> cpd11493_c0 + cpd15986_c0	AMP + cyclopropanated methoxy-meroacid ACP (2 cyclopropane rings) <=> ACP + cyclopropanated methoxy-meroacid AMP (2 cyclopropane rings)	<=>
rxn10662	Mycolic Acid Cyclopropanation			-17.35	2.77082	cpd00017_c0 + cpd15983_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd15984_c0	SAM + methoxy meroacid ACP <=> S-Adenosylhomocysteine + H+ + cyclopropanated methoxy-meroacid ACP (1 cyclopropane ring)	=>
rxn10663	Fatty acid oxidation (n-C16:1)			29.751	15.846	(7) cpd00001_c0 + cpd00002_c0 + (7) cpd00003_c0 + (8) cpd00010_c0 + (6) cpd00015_c0 + cpd15237_c0 <=> (7) cpd00004_c0 + cpd00012_c0 + cpd00018_c0 + (8) cpd00022_c0 + (6) cpd00067_c0 + (6) cpd00982_c0	7 H2O + ATP + 7 NAD + 8 CoA + 6 FAD + hexadecenoate <=> 7 NADH + PPi + AMP + 8 Acetyl-CoA + 6 H+ + 6 FADH2	<=
rxn10664	tetra-arabinofuranoside synthesis			-6.66	1.91413	cpd00185_c0 + (3) cpd15942_c0 <=> (3) cpd15941_c0 + cpd16039_c0	D-Arabinose + 3 decaprenylphosphoryl-beta-D-arabinofuranose <=> 3 (E,E,E,E,E,E,E,Z,Z) decaprenyl phosphate + tetra-arabinofuranoside	<=>
rxn10665	fatty acid synthase (n-C16:1)			-106.665	3.74779	(3) cpd00005_c0 + cpd00007_c0 + (4) cpd00067_c0 + cpd00070_c0 + cpd03847_c0 <=> (3) cpd00001_c0 + (3) cpd00006_c0 + cpd00010_c0 + cpd00011_c0 + cpd15237_c0	3 TPNH + O2 + 4 H+ + Malonyl-CoA + Myristic acid <=> 3 H2O + 3 TPN + CoA + CO2 + hexadecenoate	=>
rxn10666	hexa-arabinofuranoside synthesis			-10.06	3.17102	cpd00185_c0 + (5) cpd15942_c0 <=> (5) cpd15941_c0 + cpd15956_c0	D-Arabinose + 5 decaprenylphosphoryl-beta-D-arabinofuranose <=> 5 (E,E,E,E,E,E,E,Z,Z) decaprenyl phosphate + hexa arabinofuranoside	<=>
rxn10667	fatty acid synthase (n-C18:1)			-106.665	3.74779	(3) cpd00005_c0 + cpd00007_c0 + (4) cpd00067_c0 + cpd00070_c0 + cpd00214_c0 <=> (3) cpd00001_c0 + (3) cpd00006_c0 + cpd00010_c0 + cpd00011_c0 + cpd15269_c0	3 TPNH + O2 + 4 H+ + Malonyl-CoA + Palmitate <=> 3 H2O + 3 TPN + CoA + CO2 + octadecenoate	=>
rxn10668	Mycolic Acid Cyclopropanation			-17.35	2.77082	cpd00017_c0 + cpd15965_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd15966_c0	SAM + cyclopropanated keto-meroacid ACP (1 cyclopropane ring) <=> S-Adenosylhomocysteine + H+ + cyclopropanated keto-meroacid ACP (2 cyclopropane rings)	=>
rxn10669	Mycolic Acid Condensation			25.12	1.64399	(2) cpd00001_c0 + cpd15937_c0 + cpd15976_c0 <=> cpd00010_c0 + cpd00011_c0 + cpd00018_c0 + (2) cpd00067_c0 + cpd16001_c0	2 H2O + carboxy hexacosanoyl-CoA + cyclopropanated alpha meroacid AMP (2 cyclopropane rings) <=> CoA + CO2 + AMP + 2 H+ + mycolate (2 cyclopropanated rings)	<=>
rxn10670	1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase			-3.614	1.17862	cpd15327_c0 + cpd16000_c0 <=> cpd11493_c0 + cpd16004_c0	1-hexadecanoyl-sn-glycerol 3-phosphate + 10methyl stearyoyl-ACP <=> ACP + 1,2-sn-glycerol 3-phosphate	=>
rxn10671	trehalose sulfotransferase			-4.5	0.23673	cpd00044_c0 + cpd00794_c0 <=> cpd00045_c0 + cpd16051_c0	PAPS + TRHL <=> PAP + trehalose 2 sulfate	<=>
rxn10672	CDP diacylglycerol inositon 3-phosphatidyltransferase			-4.5	0.23673	cpd00121_c0 + cpd15935_c0 <=> cpd00046_c0 + cpd16030_c0	Bios I + cdp diacylglycerol (C16:0, C19:0) <=> CMP + phosphatidyl 1D myo inositol (C16:0, C19:0)	<=>
rxn10673	trehalose dimycolate synthesis			10000000	10000000	cpd00794_c0 + cpd16041_c0 + cpd16042_c0 <=> (2) cpd00001_c0 + cpd16049_c0	TRHL + trehalose dimycolate (alpha mycolate + methoxymycolate) + trehalose dimycolate (alpha mycolate + ketomycolate) <=> 2 H2O + tetramycolyl hexaarabinoside (tdm3 + tdm4 + tre) (Mtb)	<=>
rxn10674	tetra-acyl trehalose synthesis			8.572	2.70194	(4) cpd00067_c0 + cpd00214_c0 + cpd00794_c0 + cpd15961_c0 + (2) cpd16003_c0 <=> (4) cpd00001_c0 + cpd16040_c0	4 H+ + Palmitate + TRHL + hepta-methyl triacontanoic acid (C30:0, plus 7 methyl branches) + 2 octa-methyl tetracontatricosanoic acid (C34:0, 8 methyl-branched carbons) <=> 4 H2O + tetra-acyl trehalose	<=
rxn10675	CDP-diacylglycerol synthetase (C19:0, C19:0)			15.46	0.79198	cpd00052_c0 + cpd00067_c0 + cpd16004_c0 <=> cpd00012_c0 + cpd15936_c0	CTP + H+ + 1,2-sn-glycerol 3-phosphate <=> PPi + cdp diacylglycerol (C19:0, C19:0)	<=
rxn10676	phosphatidylglycerol phosphate phosphatase (C16:0, C19:0)			-2.317	0.735634	cpd00001_c0 + cpd16011_c0 <=> cpd00009_c0 + cpd00067_c0 + cpd16009_c0	H2O + Phosphatidylglycerophosphate (hexadecanoyl, tuberculostearoyl, C16:0, C19:0) <=> Phosphate + H+ + Phosphatidylglycerol (hexadecanoyl, methylstearoyl)	=>
rxn10677	Glycolipid 16-alpha-D-mannosyltransferase			-1.7	0.632032	cpd15916_c0 + cpd15943_c0 <=> cpd15917_c0 + cpd15941_c0	acyl phosphatidylinositol mannoside di-mannose (tuberculosis) + (E,E,E,E,E,E,E,Z,Z) decaprenyl mannose phosphate <=> acyl phosphatidylinositol mannoside tri-mannose (tuberculosis) + (E,E,E,E,E,E,E,Z,Z) decaprenyl phosphate	<=>
rxn10678	cardiolipin synthase (C16:0, C19:0) tuberculosis			0	2	(2) cpd16009_c0 <=> cpd00100_c0 + cpd15939_c0	2 Phosphatidylglycerol (hexadecanoyl, methylstearoyl) <=> GLYC + cardiolipin (dihexadecanoyl, dimethylstearoyl)	<=>
rxn10679	CDP-diacylglycerol synthetase (C16:0, C19:0)			1.07	0.746895	cpd00052_c0 + cpd16004_c0 <=> cpd00012_c0 + cpd15935_c0	CTP + 1,2-sn-glycerol 3-phosphate <=> PPi + cdp diacylglycerol (C16:0, C19:0)	<=>
rxn10680	tri-acyl trehalose sulfonation			-21.971	2.03704	cpd00794_c0 + (2) cpd01080_c0 + cpd16037_c0 <=> (3) cpd00001_c0 + cpd16052_c0	3 H+ + TRHL + 2 ocdca + tri-methyl lignoceric acid <=> 3 H2O + tri-acyl trehalose	<=>
rxn10681	decaprenylphosphoryl arabinose phosphate dephosphatase			-2.317	0.735634	cpd00001_c0 + cpd15946_c0 <=> cpd00009_c0 + cpd00067_c0 + cpd15942_c0	H2O + decaprenylphosphoryl-beta-D-5-phosphoarabinofuranose <=> Phosphate + H+ + decaprenylphosphoryl-beta-D-arabinofuranose	=>
rxn10682	fatty acid synthase - tuberculostearic acid			-79.955	12.3404	(10) cpd00005_c0 + (15) cpd00067_c0 + (4) cpd00070_c0 + cpd00519_c0 + cpd03846_c0 <=> (5) cpd00001_c0 + (10) cpd00006_c0 + (5) cpd00010_c0 + (5) cpd00011_c0 + cpd15992_c0	10 TPNH + 15 H+ + 4 Malonyl-CoA + D-methylmalonyl-CoA + octanoate <=> 5 H2O + 10 TPN + 5 CoA + 5 CO2 + 10-methylstearic acid	=>
rxn10683	fatty acid synthase - methyl octadecanoic acid			-15.991	2.46808	(2) cpd00005_c0 + (3) cpd00067_c0 + cpd00214_c0 + cpd00519_c0 <=> cpd00001_c0 + (2) cpd00006_c0 + cpd00010_c0 + cpd00011_c0 + cpd15969_c0	2 TPNH + 3 H+ + Palmitate + D-methylmalonyl-CoA <=> H2O + 2 TPN + CoA + CO2 + methyl octadecanoate	=>
rxn10684	Glycolipid 16-alpha-D-mannosyltransferase			-1.7	0.632032	cpd00083_c0 + cpd15923_c0 <=> cpd00031_c0 + cpd15924_c0	GDP-mannose + phosphatidylinositol mannoside tetra-mannose (tuberculosis) <=> GDP + phosphatidylinositol mannoside penta-mannose (tuberculosis)	<=>
rxn10685	trehalose dimycolate synthesis			10000000	10000000	cpd00794_c0 + cpd16041_c0 + cpd16042_c0 <=> (2) cpd00001_c0 + cpd16047_c0	TRHL + trehalose dimycolate (alpha mycolate + methoxymycolate) + trehalose dimycolate (alpha mycolate + ketomycolate) <=> 2 H2O + tetramycolyl hexaarabinoside (tdm2 + tdm3 + tre) (Mtb)	<=>
rxn10686	gdp mannosyl phosphate transferase			10000000	10000000	(3) cpd00083_c0 + cpd15956_c0 <=> (3) cpd00031_c0 + (3) cpd00067_c0 + cpd15978_c0	3 GDP-mannose + hexa arabinofuranoside <=> 3 GDP + 3 H+ + mannose capped hexa arabinofuranoside	<=>
rxn10687	galactofuranose transferse (M tb)			10000000	10000000	cpd00001_c0 + (30) cpd02338_c0 + cpd15562_c0 <=> (30) cpd00014_c0 + (30) cpd00067_c0 + cpd15955_c0	H2O + 30 UDP-D-galacto-1,4-furanose + rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate <=> 30 UDP + 30 H+ + galactofuranosyl(30)-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate (M tb)	<=>
rxn10688	fatty-acid--CoA ligase (phthiocerol precursor)			-2.486	1.23168	cpd00002_c0 + cpd00010_c0 + cpd00067_c0 + cpd16025_c0 <=> cpd00012_c0 + cpd00018_c0 + cpd16027_c0	ATP + CoA + H+ + phthiocerol precursor <=> PPi + AMP + phthiocerol precursor bound coenzyme A	=>
rxn10689	fatty acid synthase - methyl-arachidic acid			-44.581	2.46808	(2) cpd00005_c0 + cpd00519_c0 + cpd01080_c0 <=> cpd00001_c0 + (2) cpd00006_c0 + cpd00010_c0 + cpd00011_c0 + cpd15970_c0	2 TPNH + 3 H+ + D-methylmalonyl-CoA + ocdca <=> H2O + 2 TPN + CoA + CO2 + methyl arachidic acid	=>
rxn10690	arabinofuranosyl transferase (M tb)			10000000	10000000	cpd15942_c0 + cpd15955_c0 <=> cpd15927_c0 + cpd15941_c0	decaprenylphosphoryl-beta-D-arabinofuranose + galactofuranosyl(30)-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate (M tb) <=> arabinofuranose-galactofuranosyl(30)-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate (M tb) + (E,E,E,E,E,E,E,Z,Z) decaprenyl phosphate	<=>
rxn10691	phenolphthiocerol synthesis			-9.93	2.48583	cpd00005_c0 + cpd00017_c0 + cpd16023_c0 <=> cpd00006_c0 + cpd00019_c0 + cpd16024_c0	TPNH + SAM + phenolic phthiodiolone <=> TPN + S-Adenosylhomocysteine + phenolphtiocerol	<=>
